"Department","Number","Name","Credits","Description","Prerequisites"
CIS,"4002",Financial Technologies,3,Explore financial technologies and their applications.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55338
CIS,"4930",Big Data Analytics,3,Introduction to big data analytics techniques.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55356
CIS,"4970",Field Study in Computer Information Systems,3,Engage in field study related to computer information systems.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55357
CIS,"2010",Introduction to Information Systems,3,Introduction to information systems and their role in organizations.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55329
CIS,"4120",Defining and Innovating Business Processes,3,Study methods for defining and innovating business processes.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55339
CSC,"4370",Web Programming,3,Learn web development techniques and technologies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55511
CSC,"4520",Design and Analysis of Algorithms,3,Study algorithm design techniques and analysis.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55514
CSC,"4223",Privacy,3,Explore issues and methods related to privacy in computing.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55496
CSC,"4224",Ethical Hacking,3,Learn techniques for ethical hacking and security testing.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55497
CSC,"4311",Cloud Computing,3,Study cloud computing principles and technologies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55505
CSC,"4222",Fundamentals of Cybersecurity,3,Explore foundational concepts in cybersecurity.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54816
CSC,"4221",Mobile Computing and Wireless Network Security,3,Learn about security issues in mobile computing and wireless networks.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55495
CSC,"4352",CTW,3,Engage in advanced technical writing in computer science.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=58186
CSC,"4841",Computer Animation,3,Learn principles and techniques of computer animation.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55530
CSC,"4995",CTW,3,Engage in advanced technical writing in computer science.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55538
CSC,"4220",Computer Networks,3,Study computer networking principles and protocols.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55494
CSC,"4650",Introduction to Bioinformatics,3,Introduction to computational methods in biology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55518
CSC,"4740",Data Mining,3,Learn techniques for discovering patterns in large datasets.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55522
CSC,"4226",Secure Software Engineering,3,Study secure software development principles and practices.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55499
CSC,"4350",CTW,3,Engage in advanced technical writing in computer science.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55509
AL,"4241",CTW,3,Explore a writing-intensive topic in linguistics.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54981
AL,"3031",Language in Society,3,Study the role of language in social contexts.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54968
AL,"4880",Honors Thesis II,3,Completion of an honors thesis under faculty guidance.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54983
AL,"4012",Morphology and Syntax,3,Explore the structure and formation of words and sentences.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54973
AL,"4161",Teaching English as a Second Language II: Practicum and Classroom Practices,3,Gain practical experience in ESL teaching methods.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54980
AL,"4011",Phonetics and Phonology,3,Study the sounds and speech patterns of languages.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54972
AL,"2101",Exploring Language,3,Introduction to the study of language.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54965
AL,"4995",CTW,3,Engage in advanced writing on a linguistic topic.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=54986
ANTH,"4740",Cultural History of Sexuality: From Plato to Foucault,3,Explore the cultural history of sexuality.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55044
ANTH,"4300",Human Evolution,3,Study the evolutionary history of humans.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55020
ANTH,"4400",Anthropology of Tourism,3,Analyze the impact of tourism from an anthropological perspective.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57838
ANTH,"4360",Methods and Analysis in Biological Anthropology,4,Learn methods used in biological anthropology research.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55025
ANTH,"4570",History of Anthropological Theory,3,Survey the development of anthropological theory.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55036
ANTH,"4480",Ethnography in the 21st Century,3,Examine contemporary ethnographic research practices.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55033
ANTH,"4760",Archaeology of the Olympics,3,Explore the archaeology of ancient Olympic sites.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55046
ANTH,"4130",Religion Ritual and Symbolism,3,Study the role of religion and ritual in societies.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55006
ANTH,"4590",Archaeological Methods,4,Gain hands-on training in archaeological methods.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55040
ANTH,"4340",Applied Anthropology,3,Explore practical applications of anthropology.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55023
ANTH,"4070",Ethnobotany,3,Examination of quality management principles and safety practices in health informatics. Topics include data integrity risk management regulatory compliance and strategies for improving patient outcomes and reducing errors.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55003
ANTH,"4080","Consumer Culture, Social Change, and Ethnography",3,Exploration of leadership theories and ethical principles in healthcare settings. Emphasis on developing leadership skills fostering organizational change and addressing ethical dilemmas in healthcare practice and policy.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55004
ANTH,"4111",Anthropology of Self and Emotion,3,Study of specialized topics relevant to nursing and health professions. Topics may vary each semester and can include emerging trends current research and interdisciplinary perspectives in healthcare practice and education.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55005
ANTH,"4114",Language and Social Justice,3,Examination of security and privacy issues related to healthcare technology. Topics include data protection confidentiality HIPAA compliance cybersecurity threats and risk mitigation strategies in healthcare settings.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55007
ANTH,"4150",Museum Anthropology,3,Exploration of information systems in public health practice and research. Topics include data collection analysis and dissemination methods for addressing public health challenges and promoting population health outcomes.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55008
ANTH,"4160",Archaeology of South America,3,Overview of the organization delivery and financing of the healthcare system in the United States. Emphasis on understanding healthcare policy stakeholders and the role of technology in healthcare delivery.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55009
ANTH,"4170",Mesoamerican Archaeology,3,Exploration of selected legal issues within the criminal justice system. Topics may include constitutional rights criminal procedures and legal challenges in contemporary criminal justice practice.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55010
ANTH,"4190",Archaeological Practice and the Public,3,Analysis of controversial legal issues in criminal justice including debates over policies practices and court decisions. Emphasis on critical examination of diverse perspectives and ethical considerations.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55012
ANTH,"4200",Urban Anthropology,3,Examination of rules of evidence in criminal proceedings. Topics include admissibility relevance and reliability of evidence as well as the roles of judges and juries in evaluating evidence.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55013
ANTH,"4210",The Anthropology of Europe,3,Examination of policy-making processes and their impact on criminal justice practices and outcomes. Emphasis on analyzing policies evaluating alternatives and addressing contemporary issues.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55014
ANTH,"4220",Refugees and Forced Migration,3,Investigation of factors contributing to wrongful convictions in the criminal justice system. Emphasis on case studies legal reforms and efforts to prevent and rectify miscarriages of justice.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55015
ANTH,"4230",The Archaeology of Death and Dying,3,Examination of the organization management and functions of correctional facilities in the criminal justice system. Topics include inmate rights rehabilitation programs and challenges facing correctional staff.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55016
ANTH,"4240","Food: History, Ecology, and Political Economy",3,Exploration of community-oriented approaches to policing. Topics include problem-solving strategies community partnerships and the role of police in promoting public safety and trust.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55017
ANTH,"4241",Sexuality and Gender in Asia,3,Analysis of family violence within the criminal justice system. Topics include domestic abuse child maltreatment and the legal and social responses to family violence.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55018
ANTH,"4280",American Anthropology,3,Course focusing on career development and planning strategies for students majoring in criminal justice. Emphasis on identifying career goals acquiring relevant skills and navigating job opportunities in the field.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55019
ANTH,"4300",Human Evolution,3, Further exploration of painting techniques and concepts introduced in Fundamentals of Painting I. Emphasis on advanced techniques styles and creative expression.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55020
ANTH,"4310",Human Biology,3, Introduction to basic painting techniques materials and concepts. Emphasis on developing fundamental skills in painting and creative expression.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55021
ANTH,"4330",Primate Behavioral Ecology,3, Introduction to basic principles of photography including camera operation composition and darkroom techniques. Emphasis on developing technical skills and creative vision.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55022
ANTH,"4340",Applied Anthropology,3, Course that satisfies the Communication Through Writing CTW requirement with a focus on topics relevant to art and art history. Emphasis on developing writing skills for artistic analysis and research.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55023
ANTH,"4350",Anthropology and Natural History Museums in the Netherlands,3, Directed readings and research in art history or studio art for honors students. Topics may vary.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55024
ANTH,"4360",Methods and Analysis in Biological Anthropology,3, Seminar-style course featuring presentations and discussions with visiting artists. Emphasis on exposure to diverse artistic practices and contemporary art issues.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55025
ANTH,"4370",Forensic Anthropology,3, Research component of the Honors Thesis program in art or art history. Emphasis on independent research and scholarly inquiry.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55026
ANTH,"4390","Diet, Demography, and Disease",3, Introduction to basic principles of three-dimensional design including form space and structure. Emphasis on developing creative problem-solving skills and understanding spatial relationships.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55027
ANTH,"4400",Anthropology of Tourism,3, Introduction to practical skills and concepts relevant to arts administration including budgeting marketing fundraising and grant writing. Emphasis on developing professional skills for careers in the arts.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=57838
ANTH,"4420",Gender and Power in Ethnographic Perspective,3, Examination of the role of art in society and culture including historical social and cultural contexts of artistic production and reception. Emphasis on critical analysis and interpretation of art.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55028
ANTH,"4440",Epidemiology and Anthropology,3,Exploration of career planning strategies and management skills relevant to economics majors.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55030
ANTH,"4460",Health and Culture,3,Introduction to the principles of game theory and their application to economics and strategic decision-making.,https://catalogs.gsu.edu/preview_course_nopop.php?catoid=25&coid=55031
